MEDIO DE CONTACTO,TIPO DE SERVICIO Especifico,TIPO DE SERVICIO General,SERVICIO,UBICACIÓN,ANTICIPO,RESTANTE,TOTAL,VENDEDOR
Pagina Web,Pisos,Limpieza,Limpieza Al Delicado ,Miraflores,162.5,162.5,325,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,San Borja,35,,35,Navid
Llamada,Clases,Clases,Clase Piloto,,100,,100,Ever
Pagina Web,Pisos,Limpieza,Limpieza profunda ,Miraflores ,495,495,990,Navid
Pagina Web,Marketing,Marketing,Logo ,,250,,250,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,San Borja,40,,40,Navid
Pagina Web,Marketing,Marketing,Logo,,390,,390,Navid
Pagina Web,Clases,Clases,clases,,45,,45,Cliente
Pagina Web,Pisos,Limpieza,visita tecnica ,Surco,25,,25,Navid
Pagina Web,Clases,Clases,paquete de 30 horas,,2607,,2607,Cliente
Pagina Web,Ventanas,Limpieza,Limpieza de ventanas ,San Isidro,225,225,450,Navid
Pagina Web,Marketing,Marketing,Diseño publicitario ,,99,,99,Navid
Pagina Web,Pisos,Limpieza,visita tecnica ,Barranco,40,40,80,Ever
Pagina Web,Clases,Clases,clases ,,130,,130,Daniela Lisung
Pagina Web,Pisos,Limpieza,Visita Tecnica,San Isidro,40,,40,Ruth
